6560,2003-08-16,2003-08-20,4,08,08,2003,2003
6530,2003-08-16,2003-10-28,73,08,10,2003,2003
6544,2003-11-03,2003-11-15,12,11,11,2003,2003
6585,2003-11-22,2003-12-05,13,11,12,2003,2003
6561,2003-11-30,2003-12-18,18,11,12,2003,2003
6581,2003-12-07,2004-06-13,189,12,06,2003,2004
6564,2003-12-17,2004-06-11,177,12,06,2003,2004
6557,2004-01-04,2004-01-09,5,01,01,2004,2004
6538,2004-01-09,2005-02-04,392,01,02,2004,2005
6546,2004-01-09,2004-01-17,8,01,01,2004,2004
6535,2004-02-01,2004-02-18,17,02,02,2004,2004
6553,2004-04-26,2004-05-04,8,04,05,2004,2004
6565,2004-04-29,2004-05-04,5,04,05,2004,2004
6552,2004-05-21,2004-05-24,3,05,05,2004,2004
6539,2004-08-07,2005-02-12,189,08,02,2004,2005
6558,2004-08-22,2004-08-27,5,08,08,2004,2004
6563,2004-09-09,2004-09-14,5,09,09,2004,2004
6569,2004-09-17,2004-09-20,3,09,09,2004,2004
6586,2004-10-01,2004-10-18,17,10,10,2004,2004
6540,2004-11-01,2004-11-04,3,11,11,2004,2004
6562,2004-11-24,2005-06-02,190,11,06,2004,2005
6531,2004-12-09,2004-12-14,5,12,12,2004,2004
6580,2004-12-22,2005-01-06,15,12,01,2004,2005
6526,2005-01-03,2005-02-20,48,01,02,2005,2005
6536,2005-02-15,2005-02-18,3,02,02,2005,2005
6542,2005-02-19,2005-08-23,185,02,08,2005,2005
6532,2005-02-19,2005-08-23,185,02,08,2005,2005
6523,2005-02-23,2005-09-16,205,02,09,2005,2005
6524,2005-05-13,2005-05-21,8,05,05,2005,2005
6527,2005-06-13,2005-07-22,39,06,07,2005,2005
6554,2005-06-19,2005-07-01,12,06,07,2005,2005
6549,2005-06-23,2005-06-27,4,06,06,2005,2005
6570,2005-07-09,2005-07-22,13,07,07,2005,2005
6587,2005-08-02,2005-08-09,7,08,08,2005,2005
6578,2005-08-16,2005-10-14,59,08,10,2005,2005
6555,2005-09-15,2005-09-19,4,09,09,2005,2005
6543,2005-09-27,2007-11-07,771,09,11,2005,2007
6537,2005-09-27,2007-11-07,771,09,11,2005,2007
6571,2005-10-09,2005-10-12,3,10,10,2005,2005
6575,2005-10-12,2005-10-14,2,10,10,2005,2005
6534,2005-10-17,2007-11-07,751,10,11,2005,2007
6541,2005-12-03,2006-01-30,58,12,01,2005,2006
6528,2006-02-10,2006-04-25,74,02,04,2006,2006
6529,2006-03-30,2006-04-03,4,03,04,2006,2006
6547,2006-04-02,2006-04-07,5,04,04,2006,2006
6582,2006-04-06,2007-11-07,580,04,11,2006,2007
6525,2006-04-08,2006-04-17,9,04,04,2006,2006
6566,2006-04-18,2006-04-25,7,04,04,2006,2006
6574,2006-05-12,2006-08-18,98,05,08,2006,2006
6548,2006-06-13,2006-08-18,66,06,08,2006,2006
6572,2006-07-05,2006-07-10,5,07,07,2006,2006
6583,2006-08-02,2006-08-05,3,08,08,2006,2006
6584,2006-08-04,2006-08-09,5,08,08,2006,2006
6568,2006-08-17,2006-09-13,27,08,09,2006,2006
6576,2006-08-19,2007-11-07,445,08,11,2006,2007
6533,2006-09-20,2006-09-23,3,09,09,2006,2006
6545,2006-09-22,2006-09-27,5,09,09,2006,2006
6579,2006-09-22,2006-09-27,5,09,09,2006,2006
6550,2006-10-12,2006-12-18,67,10,12,2006,2006
6573,2006-11-09,2007-03-16,127,11,03,2006,2007
6556,2006-11-09,2006-12-15,36,11,12,2006,2006
6551,2006-11-13,2006-11-18,5,11,11,2006,2006
6559,2006-12-11,2007-03-12,91,12,03,2006,2007
6567,2007-01-30,2007-02-04,5,01,02,2007,2007
6577,2007-01-30,2007-03-08,37,01,03,2007,2007
